66,writev,0x42,unsigned long fd,const struct iovec *vec,unsigned long vlen,-,-,-,man/ cs/
67,pread64,0x43,unsigned int fd,char *buf,size_t count,loff_t pos,-,-,man/ cs/
68,pwrite64,0x44,unsigned int fd,const char *buf,size_t count,loff_t pos,-,-,man/ cs/
69,preadv,0x45,unsigned long fd,const struct iovec *vec,unsigned long vlen,unsigned long pos_l,unsigned long pos_h,-,man/ cs/
70,pwritev,0x46,unsigned long fd,const struct iovec *vec,unsigned long vlen,unsigned long pos_l,unsigned long pos_h,-,man/ cs/
71,sendfile,0x47,int out_fd,int in_fd,off_t *offset,size_t count,-,-,man/ cs/
72,pselect6,0x48,int,fd_set *,fd_set *,fd_set *,struct timespec *,void *,man/ cs/
73,ppoll,0x49,struct pollfd *,unsigned int,struct timespec *,const sigset_t *,size_t,-,man/ cs/
74,signalfd4,0x4a,int ufd,sigset_t *user_mask,size_t sizemask,int flags,-,-,man/ cs/
75,vmsplice,0x4b,int fd,const struct iovec *iov,unsigned long nr_segs,unsigned int flags,-,-,man/ cs/
76,splice,0x4c,int fd_in,loff_t *off_in,int fd_out,loff_t *off_out,size_t len,unsigned int flags,man/ cs/
77,tee,0x4d,int fdin,int fdout,size_t len,unsigned int flags,-,-,man/ cs/
78,readlinkat,0x4e,int dfd,const char *path,char *buf,int bufsiz,-,-,man/ cs/
79,newfstatat,0x4f,int dfd,const char *filename,struct stat *statbuf,int flag,-,-,man/ cs/
80,fstat,0x50,unsigned int fd,struct __old_kernel_stat *statbuf,-,-,-,-,man/ cs/
81,sync,0x51,-,-,-,-,-,-,man/ cs/
82,fsync,0x52,unsigned int fd,-,-,-,-,-,man/ cs/
83,fdatasync,0x53,unsigned int fd,-,-,-,-,-,man/ cs/
84,sync_file_range,0x54,int fd,loff_t offset,loff_t nbytes,unsigned int flags,-,-,man/ cs/
85,timerfd_create,0x55,int clockid,int flags,-,-,-,-,man/ cs/
86,timerfd_settime,0x56,int ufd,int flags,const struct __kernel_itimerspec *utmr,struct __kernel_itimerspec *otmr,-,-,man/ cs/
87,timerfd_gettime,0x57,int ufd,struct __kernel_itimerspec *otmr,-,-,-,-,man/ cs/
88,utimensat,0x58,int dfd,const char *filename,struct timespec *utimes,int flags,-,-,man/ cs/
89,acct,0x59,const char *name,-,-,-,-,-,man/ cs/
90,capget,0x5a,cap_user_header_t header,cap_user_data_t dataptr,-,-,-,-,man/ cs/
91,capset,0x5b,cap_user_header_t header,const cap_user_data_t data,-,-,-,-,man/ cs/
92,personality,0x5c,unsigned int personality,-,-,-,-,-,man/ cs/
93,exit,0x5d,int error_code,-,-,-,-,-,man/ cs/
94,exit_group,0x5e,int error_code,-,-,-,-,-,man/ cs/
95,waitid,0x5f,int which,pid_t pid,struct siginfo *infop,int options,struct rusage *ru,-,man/ cs/
96,set_tid_address,0x60,int *tidptr,-,-,-,-,-,man/ cs/
97,unshare,0x61,unsigned long unshare_flags,-,-,-,-,-,man/ cs/
98,futex,0x62,u32 *uaddr,int op,u32 val,struct timespec *utime,u32 *uaddr2,u32 val3,man/ cs/
99,set_robust_list,0x63,struct robust_list_head *head,size_t len,-,-,-,-,man/ cs/
