0,restart_syscall,0x00,-,-,-,-,-,-,man/ cs/
1,exit,0x01,int error_code,-,-,-,-,-,man/ cs/
2,fork,0x02,-,-,-,-,-,-,man/ cs/
3,read,0x03,unsigned int fd,char *buf,size_t count,-,-,-,man/ cs/
4,write,0x04,unsigned int fd,const char *buf,size_t count,-,-,-,man/ cs/
5,open,0x05,const char *filename,int flags,umode_t mode,-,-,-,man/ cs/
6,close,0x06,unsigned int fd,-,-,-,-,-,man/ cs/
7,not implemented,0x07,-,-,-,-,-,-,-
8,creat,0x08,const char *pathname,umode_t mode,-,-,-,-,man/ cs/
9,link,0x09,const char *oldname,const char *newname,-,-,-,-,man/ cs/
10,unlink,0x0a,const char *pathname,-,-,-,-,-,man/ cs/
11,execve,0x0b,const char *filename,const char *const *argv,const char *const *envp,-,-,-,man/ cs/
12,chdir,0x0c,const char *filename,-,-,-,-,-,man/ cs/
13,not implemented,0x0d,-,-,-,-,-,-,-
14,mknod,0x0e,const char *filename,umode_t mode,unsigned dev,-,-,-,man/ cs/
15,chmod,0x0f,const char *filename,umode_t mode,-,-,-,-,man/ cs/
16,lchown,0x10,const char *filename,uid_t user,gid_t group,-,-,-,man/ cs/
17,not implemented,0x11,-,-,-,-,-,-,-
18,not implemented,0x12,-,-,-,-,-,-,-
19,lseek,0x13,unsigned int fd,off_t offset,unsigned int whence,-,-,-,man/ cs/
20,getpid,0x14,-,-,-,-,-,-,man/ cs/
21,mount,0x15,char *dev_name,char *dir_name,char *type,unsigned long flags,void *data,-,man/ cs/
22,not implemented,0x16,-,-,-,-,-,-,-
23,setuid,0x17,uid_t uid,-,-,-,-,-,man/ cs/
24,getuid,0x18,-,-,-,-,-,-,man/ cs/
25,not implemented,0x19,-,-,-,-,-,-,-
26,ptrace,0x1a,long request,long pid,unsigned long addr,unsigned long data,-,-,man/ cs/
27,not implemented,0x1b,-,-,-,-,-,-,-
28,not implemented,0x1c,-,-,-,-,-,-,-
29,pause,0x1d,-,-,-,-,-,-,man/ cs/
30,not implemented,0x1e,-,-,-,-,-,-,-
31,not implemented,0x1f,-,-,-,-,-,-,-
32,not implemented,0x20,-,-,-,-,-,-,-
33,access,0x21,const char *filename,int mode,-,-,-,-,man/ cs/
34,nice,0x22,int increment,-,-,-,-,-,man/ cs/
35,not implemented,0x23,-,-,-,-,-,-,-
36,sync,0x24,-,-,-,-,-,-,man/ cs/
37,kill,0x25,pid_t pid,int sig,-,-,-,-,man/ cs/
38,rename,0x26,const char *oldname,const char *newname,-,-,-,-,man/ cs/
39,mkdir,0x27,const char *pathname,umode_t mode,-,-,-,-,man/ cs/
40,rmdir,0x28,const char *pathname,-,-,-,-,-,man/ cs/
41,dup,0x29,unsigned int fildes,-,-,-,-,-,man/ cs/
42,pipe,0x2a,int *fildes,-,-,-,-,-,man/ cs/
43,times,0x2b,struct tms *tbuf,-,-,-,-,-,man/ cs/
44,not implemented,0x2c,-,-,-,-,-,-,-
45,brk,0x2d,unsigned long brk,-,-,-,-,-,man/ cs/
46,setgid,0x2e,gid_t gid,-,-,-,-,-,man/ cs/
47,getgid,0x2f,-,-,-,-,-,-,man/ cs/
48,not implemented,0x30,-,-,-,-,-,-,-
49,geteuid,0x31,-,-,-,-,-,-,man/ cs/
50,getegid,0x32,-,-,-,-,-,-,man/ cs/
51,acct,0x33,const char *name,-,-,-,-,-,man/ cs/
52,umount2,0x34,?,?,?,?,?,?,man/ cs/
53,not implemented,0x35,-,-,-,-,-,-,-
54,ioctl,0x36,unsigned int fd,unsigned int cmd,unsigned long arg,-,-,-,man/ cs/
55,fcntl,0x37,unsigned int fd,unsigned int cmd,unsigned long arg,-,-,-,man/ cs/
56,not implemented,0x38,-,-,-,-,-,-,-
57,setpgid,0x39,pid_t pid,pid_t pgid,-,-,-,-,man/ cs/
58,not implemented,0x3a,-,-,-,-,-,-,-
59,not implemented,0x3b,-,-,-,-,-,-,-
60,umask,0x3c,int mask,-,-,-,-,-,man/ cs/
61,chroot,0x3d,const char *filename,-,-,-,-,-,man/ cs/
62,ustat,0x3e,unsigned dev,struct ustat *ubuf,-,-,-,-,man/ cs/
63,dup2,0x3f,unsigned int oldfd,unsigned int newfd,-,-,-,-,man/ cs/
64,getppid,0x40,-,-,-,-,-,-,man/ cs/
65,getpgrp,0x41,-,-,-,-,-,-,man/ cs/
66,setsid,0x42,-,-,-,-,-,-,man/ cs/
67,sigaction,0x43,int,const struct old_sigaction *,struct old_sigaction *,-,-,-,man/ cs/
68,not implemented,0x44,-,-,-,-,-,-,-
69,not implemented,0x45,-,-,-,-,-,-,-
70,setreuid,0x46,uid_t ruid,uid_t euid,-,-,-,-,man/ cs/
71,setregid,0x47,gid_t rgid,gid_t egid,-,-,-,-,man/ cs/
72,sigsuspend,0x48,int unused1,int unused2,old_sigset_t mask,-,-,-,man/ cs/
73,sigpending,0x49,old_sigset_t *uset,-,-,-,-,-,man/ cs/
74,sethostname,0x4a,char *name,int len,-,-,-,-,man/ cs/
75,setrlimit,0x4b,unsigned int resource,struct rlimit *rlim,-,-,-,-,man/ cs/
76,not implemented,0x4c,-,-,-,-,-,-,-
77,getrusage,0x4d,int who,struct rusage *ru,-,-,-,-,man/ cs/
78,gettimeofday,0x4e,struct timeval *tv,struct timezone *tz,-,-,-,-,man/ cs/
79,settimeofday,0x4f,struct timeval *tv,struct timezone *tz,-,-,-,-,man/ cs/
80,getgroups,0x50,int gidsetsize,gid_t *grouplist,-,-,-,-,man/ cs/
81,setgroups,0x51,int gidsetsize,gid_t *grouplist,-,-,-,-,man/ cs/
82,not implemented,0x52,-,-,-,-,-,-,-
83,symlink,0x53,const char *old,const char *new,-,-,-,-,man/ cs/
84,not implemented,0x54,-,-,-,-,-,-,-
85,readlink,0x55,const char *path,char *buf,int bufsiz,-,-,-,man/ cs/
86,uselib,0x56,const char *library,-,-,-,-,-,man/ cs/
87,swapon,0x57,const char *specialfile,int swap_flags,-,-,-,-,man/ cs/
88,reboot,0x58,int magic1,int magic2,unsigned int cmd,void *arg,-,-,man/ cs/
89,not implemented,0x59,-,-,-,-,-,-,-
90,not implemented,0x5a,-,-,-,-,-,-,-
91,munmap,0x5b,unsigned long addr,size_t len,-,-,-,-,man/ cs/
92,truncate,0x5c,const char *path,long length,-,-,-,-,man/ cs/
93,ftruncate,0x5d,unsigned int fd,unsigned long length,-,-,-,-,man/ cs/
94,fchmod,0x5e,unsigned int fd,umode_t mode,-,-,-,-,man/ cs/
95,fchown,0x5f,unsigned int fd,uid_t user,gid_t group,-,-,-,man/ cs/
96,getpriority,0x60,int which,int who,-,-,-,-,man/ cs/
97,setpriority,0x61,int which,int who,int niceval,-,-,-,man/ cs/
98,not implemented,0x62,-,-,-,-,-,-,-
99,statfs,0x63,const char * path,struct statfs *buf,-,-,-,-,man/ cs/
100,fstatfs,0x64,unsigned int fd,struct statfs *buf,-,-,-,-,man/ cs/
101,not implemented,0x65,-,-,-,-,-,-,-
102,not implemented,0x66,-,-,-,-,-,-,-
103,syslog,0x67,int type,char *buf,int len,-,-,-,man/ cs/
104,setitimer,0x68,int which,struct itimerval *value,struct itimerval *ovalue,-,-,-,man/ cs/
105,getitimer,0x69,int which,struct itimerval *value,-,-,-,-,man/ cs/
106,stat,0x6a,const char *filename,struct __old_kernel_stat *statbuf,-,-,-,-,man/ cs/
107,lstat,0x6b,const char *filename,struct __old_kernel_stat *statbuf,-,-,-,-,man/ cs/
108,fstat,0x6c,unsigned int fd,struct __old_kernel_stat *statbuf,-,-,-,-,man/ cs/
109,not implemented,0x6d,-,-,-,-,-,-,-
110,not implemented,0x6e,-,-,-,-,-,-,-
111,vhangup,0x6f,-,-,-,-,-,-,man/ cs/
112,not implemented,0x70,-,-,-,-,-,-,-
113,not implemented,0x71,-,-,-,-,-,-,-
114,wait4,0x72,pid_t pid,int *stat_addr,int options,struct rusage *ru,-,-,man/ cs/
115,swapoff,0x73,const char *specialfile,-,-,-,-,-,man/ cs/
116,sysinfo,0x74,struct sysinfo *info,-,-,-,-,-,man/ cs/
117,not implemented,0x75,-,-,-,-,-,-,-
118,fsync,0x76,unsigned int fd,-,-,-,-,-,man/ cs/
119,sigreturn,0x77,?,?,?,?,?,?,man/ cs/
120,clone,0x78,unsigned long,unsigned long,int *,int *,unsigned long,-,man/ cs/
121,setdomainname,0x79,char *name,int len,-,-,-,-,man/ cs/
122,uname,0x7a,struct old_utsname *,-,-,-,-,-,man/ cs/
123,not implemented,0x7b,-,-,-,-,-,-,-
124,adjtimex,0x7c,struct timex *txc_p,-,-,-,-,-,man/ cs/
125,mprotect,0x7d,unsigned long start,size_t len,unsigned long prot,-,-,-,man/ cs/
126,sigprocmask,0x7e,int how,old_sigset_t *set,old_sigset_t *oset,-,-,-,man/ cs/
127,not implemented,0x7f,-,-,-,-,-,-,-
128,init_module,0x80,void *umod,unsigned long len,const char *uargs,-,-,-,man/ cs/
129,delete_module,0x81,const char *name_user,unsigned int flags,-,-,-,-,man/ cs/
130,not implemented,0x82,-,-,-,-,-,-,-
131,quotactl,0x83,unsigned int cmd,const char *special,qid_t id,void *addr,-,-,man/ cs/
132,getpgid,0x84,pid_t pid,-,-,-,-,-,man/ cs/
133,fchdir,0x85,unsigned int fd,-,-,-,-,-,man/ cs/
134,bdflush,0x86,int func,long data,-,-,-,-,man/ cs/
135,sysfs,0x87,int option,unsigned long arg1,unsigned long arg2,-,-,-,man/ cs/
136,personality,0x88,unsigned int personality,-,-,-,-,-,man/ cs/
137,not implemented,0x89,-,-,-,-,-,-,-
138,setfsuid,0x8a,uid_t uid,-,-,-,-,-,man/ cs/
139,setfsgid,0x8b,gid_t gid,-,-,-,-,-,man/ cs/
140,_llseek,0x8c,?,?,?,?,?,?,man/ cs/
141,getdents,0x8d,unsigned int fd,struct linux_dirent *dirent,unsigned int count,-,-,-,man/ cs/
142,_newselect,0x8e,?,?,?,?,?,?,man/ cs/
143,flock,0x8f,unsigned int fd,unsigned int cmd,-,-,-,-,man/ cs/
144,msync,0x90,unsigned long start,size_t len,int flags,-,-,-,man/ cs/
145,readv,0x91,unsigned long fd,const struct iovec *vec,unsigned long vlen,-,-,-,man/ cs/
146,writev,0x92,unsigned long fd,const struct iovec *vec,unsigned long vlen,-,-,-,man/ cs/
147,getsid,0x93,pid_t pid,-,-,-,-,-,man/ cs/
148,fdatasync,0x94,unsigned int fd,-,-,-,-,-,man/ cs/
149,_sysctl,0x95,?,?,?,?,?,?,man/ cs/
150,mlock,0x96,unsigned long start,size_t len,-,-,-,-,man/ cs/
151,munlock,0x97,unsigned long start,size_t len,-,-,-,-,man/ cs/
152,mlockall,0x98,int flags,-,-,-,-,-,man/ cs/
153,munlockall,0x99,-,-,-,-,-,-,man/ cs/
154,sched_setparam,0x9a,pid_t pid,struct sched_param *param,-,-,-,-,man/ cs/
155,sched_getparam,0x9b,pid_t pid,struct sched_param *param,-,-,-,-,man/ cs/
156,sched_setscheduler,0x9c,pid_t pid,int policy,struct sched_param *param,-,-,-,man/ cs/
157,sched_getscheduler,0x9d,pid_t pid,-,-,-,-,-,man/ cs/
158,sched_yield,0x9e,-,-,-,-,-,-,man/ cs/
159,sched_get_priority_max,0x9f,int policy,-,-,-,-,-,man/ cs/
160,sched_get_priority_min,0xa0,int policy,-,-,-,-,-,man/ cs/
161,sched_rr_get_interval,0xa1,pid_t pid,struct timespec *interval,-,-,-,-,man/ cs/
162,nanosleep,0xa2,struct __kernel_timespec *rqtp,struct __kernel_timespec *rmtp,-,-,-,-,man/ cs/
163,mremap,0xa3,unsigned long addr,unsigned long old_len,unsigned long new_len,unsigned long flags,unsigned long new_addr,-,man/ cs/
164,setresuid,0xa4,uid_t ruid,uid_t euid,uid_t suid,-,-,-,man/ cs/
165,getresuid,0xa5,uid_t *ruid,uid_t *euid,uid_t *suid,-,-,-,man/ cs/
166,not implemented,0xa6,-,-,-,-,-,-,-
167,not implemented,0xa7,-,-,-,-,-,-,-
168,poll,0xa8,struct pollfd *ufds,unsigned int nfds,int timeout,-,-,-,man/ cs/
169,nfsservctl,0xa9,?,?,?,?,?,?,man/ cs/
170,setresgid,0xaa,gid_t rgid,gid_t egid,gid_t sgid,-,-,-,man/ cs/
171,getresgid,0xab,gid_t *rgid,gid_t *egid,gid_t *sgid,-,-,-,man/ cs/
172,prctl,0xac,int option,unsigned long arg2,unsigned long arg3,unsigned long arg4,unsigned long arg5,-,man/ cs/
173,rt_sigreturn,0xad,?,?,?,?,?,?,man/ cs/
174,rt_sigaction,0xae,int,const struct sigaction *,struct sigaction *,size_t,-,-,man/ cs/
175,rt_sigprocmask,0xaf,int how,sigset_t *set,sigset_t *oset,size_t sigsetsize,-,-,man/ cs/
176,rt_sigpending,0xb0,sigset_t *set,size_t sigsetsize,-,-,-,-,man/ cs/
177,rt_sigtimedwait,0xb1,const sigset_t *uthese,siginfo_t *uinfo,const struct timespec *uts,size_t sigsetsize,-,-,man/ cs/
178,rt_sigqueueinfo,0xb2,pid_t pid,int sig,siginfo_t *uinfo,-,-,-,man/ cs/
179,rt_sigsuspend,0xb3,sigset_t *unewset,size_t sigsetsize,-,-,-,-,man/ cs/
180,pread64,0xb4,unsigned int fd,char *buf,size_t count,loff_t pos,-,-,man/ cs/
181,pwrite64,0xb5,unsigned int fd,const char *buf,size_t count,loff_t pos,-,-,man/ cs/
182,chown,0xb6,const char *filename,uid_t user,gid_t group,-,-,-,man/ cs/
183,getcwd,0xb7,char *buf,unsigned long size,-,-,-,-,man/ cs/
184,capget,0xb8,cap_user_header_t header,cap_user_data_t dataptr,-,-,-,-,man/ cs/
185,capset,0xb9,cap_user_header_t header,const cap_user_data_t data,-,-,-,-,man/ cs/
186,sigaltstack,0xba,const struct sigaltstack *uss,struct sigaltstack *uoss,-,-,-,-,man/ cs/
187,sendfile,0xbb,int out_fd,int in_fd,off_t *offset,size_t count,-,-,man/ cs/
188,not implemented,0xbc,-,-,-,-,-,-,-
189,not implemented,0xbd,-,-,-,-,-,-,-
190,vfork,0xbe,-,-,-,-,-,-,man/ cs/
191,ugetrlimit,0xbf,?,?,?,?,?,?,man/ cs/
192,mmap2,0xc0,?,?,?,?,?,?,man/ cs/
193,truncate64,0xc1,const char *path,loff_t length,-,-,-,-,man/ cs/
194,ftruncate64,0xc2,unsigned int fd,loff_t length,-,-,-,-,man/ cs/
195,stat64,0xc3,const char *filename,struct stat64 *statbuf,-,-,-,-,man/ cs/
196,lstat64,0xc4,const char *filename,struct stat64 *statbuf,-,-,-,-,man/ cs/
197,fstat64,0xc5,unsigned long fd,struct stat64 *statbuf,-,-,-,-,man/ cs/
198,lchown32,0xc6,?,?,?,?,?,?,man/ cs/
199,getuid32,0xc7,?,?,?,?,?,?,man/ cs/
200,getgid32,0xc8,?,?,?,?,?,?,man/ cs/
201,geteuid32,0xc9,?,?,?,?,?,?,man/ cs/
202,getegid32,0xca,?,?,?,?,?,?,man/ cs/
203,setreuid32,0xcb,?,?,?,?,?,?,man/ cs/
204,setregid32,0xcc,?,?,?,?,?,?,man/ cs/
205,getgroups32,0xcd,?,?,?,?,?,?,man/ cs/
206,setgroups32,0xce,?,?,?,?,?,?,man/ cs/
207,fchown32,0xcf,?,?,?,?,?,?,man/ cs/
208,setresuid32,0xd0,?,?,?,?,?,?,man/ cs/
209,getresuid32,0xd1,?,?,?,?,?,?,man/ cs/
210,setresgid32,0xd2,?,?,?,?,?,?,man/ cs/
211,getresgid32,0xd3,?,?,?,?,?,?,man/ cs/
212,chown32,0xd4,?,?,?,?,?,?,man/ cs/
213,setuid32,0xd5,?,?,?,?,?,?,man/ cs/
214,setgid32,0xd6,?,?,?,?,?,?,man/ cs/
215,setfsuid32,0xd7,?,?,?,?,?,?,man/ cs/
216,setfsgid32,0xd8,?,?,?,?,?,?,man/ cs/
217,getdents64,0xd9,unsigned int fd,struct linux_dirent64 *dirent,unsigned int count,-,-,-,man/ cs/
218,pivot_root,0xda,const char *new_root,const char *put_old,-,-,-,-,man/ cs/
219,mincore,0xdb,unsigned long start,size_t len,unsigned char * vec,-,-,-,man/ cs/
220,madvise,0xdc,unsigned long start,size_t len,int behavior,-,-,-,man/ cs/
221,fcntl64,0xdd,unsigned int fd,unsigned int cmd,unsigned long arg,-,-,-,man/ cs/
222,not implemented,0xde,-,-,-,-,-,-,-
223,not implemented,0xdf,-,-,-,-,-,-,-
224,gettid,0xe0,-,-,-,-,-,-,man/ cs/
225,readahead,0xe1,int fd,loff_t offset,size_t count,-,-,-,man/ cs/
226,setxattr,0xe2,const char *path,const char *name,const void *value,size_t size,int flags,-,man/ cs/
227,lsetxattr,0xe3,const char *path,const char *name,const void *value,size_t size,int flags,-,man/ cs/
228,fsetxattr,0xe4,int fd,const char *name,const void *value,size_t size,int flags,-,man/ cs/
229,getxattr,0xe5,const char *path,const char *name,void *value,size_t size,-,-,man/ cs/
230,lgetxattr,0xe6,const char *path,const char *name,void *value,size_t size,-,-,man/ cs/
231,fgetxattr,0xe7,int fd,const char *name,void *value,size_t size,-,-,man/ cs/
232,listxattr,0xe8,const char *path,char *list,size_t size,-,-,-,man/ cs/
233,llistxattr,0xe9,const char *path,char *list,size_t size,-,-,-,man/ cs/
234,flistxattr,0xea,int fd,char *list,size_t size,-,-,-,man/ cs/
235,removexattr,0xeb,const char *path,const char *name,-,-,-,-,man/ cs/
